Rank,Title,RatingTomatometer,Genres
32,to be or not to be,98,comedy
33,mary poppins,100,comedy
34,city lights,98,comedy
35,birdman,91,comedy
36,love & friendship,97,comedy
37,playtime,100,comedy
38,the disaster artist,91,comedy
39,annie hall,97,comedy
40,the discreet charm of the bourgeoisie,98,comedy
41,the artist,95,comedy
42,his girl friday,98,comedy
43,ratatouille,96,comedy
44,the rules of the game,98,comedy
45,tampopo,100,comedy
46,isle of dogs,89,comedy
47,the incredibles,97,comedy
48,gentlemen prefer blondes,98,comedy
49,the nice guys,92,comedy
50,yellow submarine,97,comedy
51,paddington,98,comedy
52,spy,94,comedy
53,chicken run,97,comedy
54,logan lucky,92,comedy
55,hunt for the wilderpeople,96,comedy
56,101 dalmatians,98,comedy
57,airplane!,97,comedy
58,ghostbusters,97,comedy
59,bringing up baby,95,comedy
60,big,97,comedy
61,some like it hot,96,comedy
62,duck soup,94,comedy
63,the player,98,comedy
64,don't think twice,98,comedy
65,"monsters, inc.",96,comedy
66,the lego batman movie,90,comedy
67,monty python's life of brian,97,comedy
68,the grand budapest hotel,91,comedy
69,sideways,96,comedy
70,the apartment,94,comedy
71,back to the future,96,comedy
72,the edge of seventeen,95,comedy
73,groundhog day,96,comedy
74,what we do in the shadows,96,comedy
75,tangerine,97,comedy
76,bull durham,97,comedy
77,who framed roger rabbit,97,comedy
78,moonrise kingdom,93,comedy
79,anomalisa,92,comedy
80,lost in translation,95,comedy
81,enough said,95,comedy
82,broadcast news,98,comedy
83,the taste of others,100,comedy
84,the muppets,95,comedy
85,the band's visit,98,comedy
86,hannah gadsby: nanette,100,comedy
87,repo man,98,comedy
88,the truman show,94,comedy
89,le havre,99,comedy
90,say anything...,98,comedy
91,wallace & gromit: the curse of the were-rabbit,95,comedy
92,hairspray,98,comedy
93,silver linings playbook,92,comedy
94,american graffiti,96,comedy
95,monsieur lazhar,97,comedy
96,juno,94,comedy
97,mafioso,96,comedy
98,we are the best!,96,comedy
99,manhattan,95,comedy
100,bullets over broadway,97,comedy
1,won't you be my neighbor?,98,documentary
2,i am not your negro,98,documentary
3,man on wire,100,documentary
4,life itself,97,documentary
5,faces places,99,documentary
6,20 feet from stardom,99,documentary
7,three identical strangers,96,documentary
8,the last waltz,98,documentary
9,amy,95,documentary
10,taxi to the dark side,100,documentary
11,kedi,98,documentary
12,blackfish,98,documentary
13,citizenfour,97,documentary
14,murderball,98,documentary
15,minding the gap,100,documentary
16,shirkers,100,documentary
