title,user_score,usa_gross
little old new york,62.0,$ 2400000
our hospitality,78.0,
the pilgrim,74.0,$ 280171
raskolnikow,68.0,
rosita,65.0,
la roue,75.0,
safety last!,81.0,
scaramouche,70.0,
der schatz,67.0,
the shock,65.0,
souls for sale,70.0,
die straße,70.0,
sylvester,62.0,
the ten commandments,68.0,
three ages,71.0,
das wachsfigurenkabinett,66.0,
the white rose,64.0,
the white sister,68.0,$ 657532
white tiger,62.0,
why worry?,74.0,
a woman of paris: a drama of fate,70.0,
zaza,62.0,$ 427875
aelita,66.0,
america,64.0,
beau brummel,67.0,$ 290705
black oxen,59.0,
captain january,69.0,
the chechahcos,65.0,
dante's inferno,57.0,$ 259784
dorothy vernon of haddon hall,69.0,
the enchanted cottage,65.0,
the family secret,63.0,
la fille de l'eau,68.0,
die finanzen des großherzogs,64.0,
forbidden paradise,61.0,EUR 252076
girl shy,77.0,
he who gets slapped,78.0,
her night of romance,68.0,
hot water,72.0,
l'inhumaine,72.0,
the iron horse,72.0,
isn't life wonderful,69.0,
janice meredith,57.0,
kean,67.0,
der letzte mann,81.0,$ 94812
manhandled,65.0,
the marriage circle,72.0,
michael,71.0,
monsieur beaucaire,57.0,$ 556826
the navigator,77.0,
neobychainye priklyucheniya mistera vesta v strane bolshevikov,66.0,
die nibelungen: kriemhilds rache,79.0,
die nibelungen: siegfried,81.0,
open all night,47.0,
orlacs hände,71.0,
papirosnitsa ot mosselproma,68.0,
paris qui dort,72.0,
peter pan,71.0,$ 630229
the red lily,71.0,
romola,63.0,$ 497234
the sea hawk,70.0,$ 780187
secrets,55.0,$ 470454
sherlock jr.,82.0,$ 977375
stachka,76.0,
the thief of bagdad,77.0,
the white shadow,63.0,
wild oranges,68.0,
wine of youth,59.0,
yolanda,58.0,
die abenteuer des prinzen achmed,78.0,
the big parade,79.0,
body and soul,62.0,
braveheart,70.0,
bronenosets potemkin,80.0,$ 51198
the circle,63.0,
clash of the wolves,66.0,
cobra,64.0,
don q son of zorro,70.0,
du skal ære din hustru,71.0,
the eagle,66.0,$ 323150
le fantôme du moulin-rouge,63.0,
feu mathias pascal,71.0,
the freshman,75.0,$ 1392
die freudlose gasse,72.0,
furusato no uta,58.0,
glomdalsbruden,66.0,
go west,72.0,
the gold rush,82.0,
the goose woman,69.0,
greed,81.0,
gribiche,69.0,
her sister from paris,65.0,$ 230306
el húsar de la muerte,66.0,
lady windermere's fan,73.0,
lady of the night,66.0,$ 205550
the lady,50.0,$ 190048
lazybones,72.0,
lights of old broadway,60.0,
little annie rooney,67.0,$ 1100000
the little colonel,71.0,
the lost world,70.0,$ 1194450
the merry widow,73.0,
the monster,62.0,
the mystic,64.0,
orochi,71.0,
parisian love,62.0,
paths to paradise,67.0,
the phantom of the opera,76.0,$ 3751476
the plastic age,60.0,
the pleasure garden,60.0,
poil de carotte,70.0,
prem sanyas,68.0,
pretty ladies,37.0,
the rag man,71.0,
the red kimona,66.0,
riders of the purple sage,64.0,
the road to yesterday,68.0,
sally of the sawdust,66.0,$ 304081
"sally, irene and mary",38.0,
the salvation hunters,67.0,
seven chances,79.0,$ 210748
she,61.0,
soul-fire,41.0,
die stadt ohne juden,64.0,
stage struck,65.0,$ 241507
stella dallas,72.0,
tumbleweeds,65.0,
the unholy three,72.0,
the vanishing american,68.0,$ 286809
varieté,74.0,$ 709613
visages d'enfants,77.0,
le voyage imaginaire,67.0,
the wizard of oz,51.0,
wolfblood,58.0,
a woman of the world,69.0,
zakroyshchik iz torzhka,68.0,
zander the great,54.0,$ 264738
zur chronik von grieshuus,66.0,
bardelys the magnificent,70.0,$ 490467
the bat,65.0,
battling butler,70.0,$ 702114
beau geste,70.0,$ 1708926
the bells,65.0,
the better 'ole,63.0,
beverly of graustark,59.0,$ 315862
the black pirate,71.0,
the blackbird,68.0,
the blue eagle,55.0,
la bohème,73.0,
the boob,50.0,
brown of harvard,62.0,
brudeferden i hardanger,66.0,
dancing mothers,66.0,
don juan,70.0,
ella cinders,67.0,
eve's leaves,46.0,
exit smiling,69.0,
faust: eine deutsche volkssage,81.0,
fig leaves,64.0,
fine manners,58.0,$ 262300
flesh and the devil,76.0,
for heaven's sake,75.0,$ 577310
geheimnisse einer seele,69.0,
the great k & a train robbery,63.0,
hands up!,66.0,
der heilige berg,67.0,
his first flame,60.0,
it's the old army game,64.0,
kid boots,69.0,$ 314332
kiki,67.0,$ 414115
kurutta ippêji,74.0,
the lodger: a story of the london fog,73.0,
love 'em and leave 'em,63.0,
maciste all'inferno,67.0,
the magician,67.0,
mantrap,68.0,
mare nostrum,68.0,$ 620079
mat,75.0,
metropolis,83.0,$ 1236166
miss mend,68.0,
my lady of whims,57.0,
namus,70.0,
nana,68.0,
nell gwyn,52.0,
old ironsides,67.0,$ 1434461
po zakonu,77.0,
protsess o tryokh millionakh,71.0,
the road to mandalay,66.0,
der rosenkavalier,60.0,
the scarlet letter,77.0,
the sea beast,65.0,
the shamrock handicap,58.0,
shinel,67.0,
the show-off,68.0,
so this is paris,70.0,
so's your old man,62.0,
the son of the sheik,66.0,$ 716850
the sorrows of satan,62.0,
sparrows,73.0,
the strong man,67.0,
der student von prag,69.0,
herr tartüff,71.0,
the temptress,69.0,
3 bad men,75.0,
torrent,69.0,
"tramp, tramp, tramp",61.0,$ 243700
the volga boatman,66.0,
west point,64.0,
what price glory,68.0,
the winning of barbara worth,70.0,
almost human,75.0,
alraune,62.0,
annie laurie,59.0,
baby ryazanskie,71.0,
barbed wire,70.0,
the beloved rogue,69.0,
café elektric,64.0,
captain salvation,68.0,
casanova,68.0,
the cat and the canary,71.0,$ 325550
chicago,71.0,
children of divorce,66.0,
college,71.0,
devushka s korobkoy,72.0,
downhill,61.0,
the drop kick,48.0,
easy virtue,57.0,
the fair co-ed,56.0,GBP 485300
the first auto,64.0,
the gaucho,69.0,
the general,81.0,
get your man,67.0,
la glace à trois faces,70.0,
schaste,74.0,
hindle wakes,71.0,
hotel imperial,66.0,
hula,64.0,$ 436342
it,73.0,$ 411891
the jazz singer,65.0,
le joueur d'échecs,68.0,
the kid brother,76.0,$ 1553522
the king of kings,72.0,
konets sankt-peterburga,73.0,
die liebe der jeanne ney,73.0,
london after midnight,68.0,
long pants,63.0,
love,69.0,
the love of sunya,61.0,$ 502086
"man, woman and sin",59.0,
mockery,67.0,
mr. wu,64.0,
my best girl,74.0,
napoléon vu par abel gance,81.0,
oktyabr,75.0,
old san francisco,64.0,
orchids and ermine,68.0,
paid to love,63.0,
the patent leather kid,58.0,
potseluy meri pikford,63.0,
quality street,64.0,
the red mill,66.0,
the ring,62.0,
running wild,70.0,
the scar of shame,62.0,
7th heaven,76.0,
a ship comes in,56.0,
shooting stars,71.0,
the show,69.0,$ 395825
"slide, kelly, slide",40.0,
spring fever,60.0,$ 405000
the student prince in old heidelberg,76.0,
sumka dipkuryera,63.0,
sunrise: a song of two humans,81.0,
tarzan and the golden lion,55.0,
tell it to the marines,69.0,
three's a crowd,61.0,
tillie the toiler,58.0,
